category,amount,out,in,year,month,Month
Family,1,0,1,2022,9,Sep
Family,499,0,499,2022,9,Sep
Family,-1,1,0,2022,9,Sep
Family,-45,45,0,2022,9,Sep
Family,-6,6,0,2022,9,Sep
Transport,-1.65,1.65,0,2022,9,Sep
Shopping,-14,14,0,2022,9,Sep
Eating out,-3.89,3.89,0,2022,9,Sep
Transport,-26.4,26.4,0,2022,9,Sep
Family,-13,13,0,2022,10,Oct
Family,10,0,10,2022,10,Oct
Transport,-3.3,3.3,0,2022,10,Oct
Eating out,-2.6,2.6,0,2022,10,Oct
Groceries,-6.6,6.6,0,2022,10,Oct
Family,250,0,250,2022,10,Oct
Transport,-3.25,3.25,0,2022,10,Oct
Family,-10,10,0,2022,10,Oct
Transport,-8.95,8.95,0,2022,10,Oct
Family,7,0,7,2022,10,Oct
Expenses,0,0,0,2022,10,Oct
Expenses,-6.69,6.69,0,2022,10,Oct
Transport,-17.4,17.4,0,2022,10,Oct
Transport,-3.7,3.7,0,2022,10,Oct
Transport,-3.7,3.7,0,2022,10,Oct
Groceries,-1.5,1.5,0,2022,10,Oct
Transport,-20.1,20.1,0,2022,10,Oct
Transport,-8.6,8.6,0,2022,10,Oct
Transport,-11.94,11.94,0,2022,10,Oct
Transport,-9.5,9.5,0,2022,10,Oct
Transport,-5.2,5.2,0,2022,10,Oct
Family,25.71,0,25.71,2022,10,Oct
Expenses,-25.71,25.71,0,2022,10,Oct
Eating out,-11.17,11.17,0,2022,10,Oct
Groceries,-2.95,2.95,0,2022,10,Oct
Transport,-3.3,3.3,0,2022,10,Oct
Groceries,-1.5,1.5,0,2022,10,Oct
Transport,-1.65,1.65,0,2022,10,Oct
Transport,-18.64,18.64,0,2022,10,Oct
Transport,-5.2,5.2,0,2022,10,Oct
Transport,-3.3,3.3,0,2022,10,Oct
Transport,-11.45,11.45,0,2022,10,Oct
Transport,-5.2,5.2,0,2022,10,Oct
Groceries,-1.25,1.25,0,2022,10,Oct
Groceries,-1.7,1.7,0,2022,10,Oct
Expenses,-5,5,0,2022,10,Oct
Family,-15,15,0,2022,10,Oct
Family,15,0,15,2022,10,Oct
Transport,-3.3,3.3,0,2022,10,Oct
Transport,-18.05,18.05,0,2022,10,Oct
Transport,-5.2,5.2,0,2022,10,Oct
Groceries,-1.25,1.25,0,2022,10,Oct
Savings,-10,10,0,2022,10,Oct
Savings,-290,290,0,2022,10,Oct
Transport,-11.45,11.45,0,2022,10,Oct
Transport,-4.1,4.1,0,2022,10,Oct
Family,15,0,15,2022,10,Oct
Groceries,-0.89,0.89,0,2022,10,Oct
Eating out,-2,2,0,2022,10,Oct
Groceries,-8,8,0,2022,10,Oct
Transport,-4.95,4.95,0,2022,10,Oct
Shopping,-23,23,0,2022,10,Oct
Groceries,-3.5,3.5,0,2022,10,Oct
Family,10,0,10,2022,10,Oct
Transport,-3.3,3.3,0,2022,10,Oct
Transport,-18.05,18.05,0,2022,10,Oct
Transport,-5.2,5.2,0,2022,10,Oct
Groceries,-2,2,0,2022,10,Oct
Shopping,7,0,7,2022,10,Oct
Groceries,-4.3,4.3,0,2022,10,Oct
Family,5,0,5,2022,10,Oct
Groceries,-4.15,4.15,0,2022,10,Oct
Groceries,-1.1,1.1,0,2022,10,Oct
Groceries,-0.8,0.8,0,2022,10,Oct
